relp,n
0,3.6869E-09
0.0025,1.41577E-06
0.005,2.1679E-06
0.01,3.45463E-06
0.015,4.7561E-06
0.02,5.95435E-06
0.03,8.47988E-06
0.04,1.11897E-05
0.05,1.35125E-05
0.06,1.59348E-05
0.07,1.83976E-05
0.08,2.09158E-05
0.09,2.33713E-05
0.1,2.59779E-05
0.125,3.26475E-05
0.15,3.94941E-05
0.175,4.65361E-05
0.2,5.35486E-05
0.225,6.13279E-05
0.25,6.93433E-05
0.275,7.78895E-05
0.3,8.69077E-05
0.35,0.000106651
0.4,0.000129008
0.45,0.000154231
0.5,0.000183121
0.55,0.000216771
0.6,0.000256439
0.7,0.000365295
0.8,0.0005355
0.9,0.000842004
